word	valence	arousal	dominance
fig	5.63	3.87	4.87
fight	3.76	7.15	5.27
film	6.93	5.32	5.14
filth	2.47	5.12	3.81
financial	4.15	5.70	3.81
finger	5.29	3.78	5.05
fingerprint	4.87	4.67	4.50
finish	7.80	5.37	6.93
fire	3.22	7.17	4.49
firefighter	6.90	5.93	5.68
fireplace	6.93	4.48	5.69
fireworks	7.55	6.67	5.51
first	6.89	6.14	7.21
fish	6.04	4.00	6.02
fisherman	5.94	4.97	5.46
fitting	5.60	4.50	5.33
flabby	2.66	4.82	3.31
flag	6.02	4.60	5.50
flare	5.70	5.23	4.93
flaunt	5.04	5.70	5.22
flaw	3.28	4.66	3.45
flea	3.47	5.23	4.13
flee	3.29	6.18	3.79
flight	6.69	6.25	4.81
flirt	7.52	6.91	6.24
flock	5.50	4.50	4.80
flood	3.19	6.00	3.24
flow	5.77	3.60	5.43
flower	6.64	4.00	4.98
flu	2.52	4.83	2.67
fluffy	7.17	4.57	5.43
flute	5.72	4.25	5.12
fly	7.29	6.64	5.18
foam	6.07	5.26	5.24
foe	3.39	6.00	5.25
folly	4.40	4.30	4.30
food	7.65	5.92	6.18
foolish	3.54	4.46	4.12
foot	5.02	3.27	4.98
football	7.64	6.54	6.21
forbid	3.13	5.47	3.57
forceful	3.84	5.72	4.31
forest	6.39	4.86	5.11
forget	2.97	5.00	3.55
forgive	6.33	4.89	4.93
fork	5.29	3.96	5.74
fornicate	5.53	6.60	5.80
foul	2.81	4.93	4.51
fragrance	6.07	4.79	5.14
fraud	2.67	5.75	3.58
free	8.26	5.15	6.35
freedom	7.58	5.52	6.76
